,Bedrooms,Bathrooms,Status,Size,Location,Price,Facing,Type
658,0,0,New,1674,Gudavalli,30.19,None,Residential Plot
659,0,0,New,1512,Edupugallu,30.96,West,Residential Plot
660,0,0,New,1512,Edupugallu,30.24,West,Residential Plot
661,0,0,New,1503,Edupugallu,30.06,West,Residential Plot
662,0,0,New,1953,Gudavalli,35.8,None,Residential Plot
663,0,0,New,1467,Edupugallu,29.34,West,Residential Plot
664,0,0,New,1458,Edupugallu,29.16,West,Residential Plot
665,0,0,New,1440,Edupugallu,28.8,West,Residential Plot
666,0,0,New,1395,Edupugallu,27.9,None,Residential Plot
667,0,0,New,2340,Edupugallu,48.1,East,Residential Plot
668,0,0,New,1908,Edupugallu,39.22,East,Residential Plot
669,0,0,New,3150,Edupugallu,63.0,West,Residential Plot
670,0,0,New,1395,Edupugallu,27.9,West,Residential Plot
671,0,0,New,1458,Edupugallu,29.16,West,Residential Plot
672,0,0,New,2088,Edupugallu,42.92,East,Residential Plot
673,0,0,New,1953,Edupugallu,40.14,East,Residential Plot
674,0,0,New,2142,Edupugallu,44.03,East,Residential Plot
675,0,0,New,1890,Edupugallu,37.8,West,Residential Plot
676,0,0,New,1413,Kankipadu,22.92,East,Residential Plot
677,0,0,New,2700,Kankipadu,50.7,North,Residential Plot
678,0,0,New,1503,Kankipadu,26.38,West,Residential Plot
679,0,0,New,1566,Kankipadu,27.49,West,Residential Plot
680,0,0,New,2520,Edupugallu,51.8,East,Residential Plot
681,0,0,New,2088,Edupugallu,42.92,None,Residential Plot
682,0,0,New,1647,Edupugallu,33.85,East,Residential Plot
683,0,0,New,1746,Edupugallu,34.92,West,Residential Plot
684,0,0,New,1647,Benz Circle,33.85,East,Residential Plot
685,0,0,New,2142,Benz Circle,42.84,None,Residential Plot
686,0,0,New,1818,Edupugallu,37.37,None,Residential Plot
687,0,0,New,1863,Edupugallu,71.59,None,Residential Plot
688,0,0,New,162,Gudavalli,25.75,None,Residential Plot
689,0,0,New,1674,Edupugallu,33.48,West,Residential Plot
690,0,0,New,1755,Edupugallu,35.89,None,Residential Plot
691,0,0,New,1719,Gudavalli,31.51,SouthWest,Residential Plot
692,0,0,New,1899,Edupugallu,37.98,None,Residential Plot
693,0,0,New,1071,Gosala,16.33,West,Residential Plot
694,0,0,New,1278,Gosala,16.33,NorthWest,Residential Plot
695,0,0,New,1278,Gosala,16.33,NorthWest,Residential Plot
696,0,0,New,279,Gosala,20.47,NorthWest,Residential Plot
697,0,0,New,1278,Gosala,16.33,West,Residential Plot
698,0,0,New,1602,Gosala,21.36,East,Residential Plot
699,0,0,New,1278,Gosala,17.04,East,Residential Plot
700,0,0,New,1602,Gosala,21.36,None,Residential Plot
701,0,0,New,1458,Gosala,19.56,East,Residential Plot
702,0,0,New,1602,Gosala,21.36,None,Residential Plot
703,0,0,New,1251,Gosala,15.98,West,Residential Plot
704,0,0,New,1260,Gosala,16.1,West,Residential Plot
705,0,0,New,1278,Gosala,170.0,East,Residential Plot
706,0,0,New,1503,Gosala,20.04,None,Residential Plot
707,0,0,New,1458,Gosala,19.44,None,Residential Plot
708,0,0,New,1773,Edupugallu,23.64,East,Residential Plot
709,0,0,New,1674,Edupugallu,22.32,None,Residential Plot
710,0,0,New,2430,Edupugallu,32.4,East,Residential Plot
711,0,0,New,1278,Gosala,17.04,None,Residential Plot
712,0,0,New,1440,Edupugallu,19.2,West,Residential Plot
713,0,0,New,1647,Gudavalli,33.85,East,Residential Plot
714,0,0,New,8172,Edupugallu,108.0,East,Residential Plot
715,0,0,New,12240,Edupugallu,163.0,East,Residential Plot
716,0,0,New,1647,Gudavalli,32.94,West,Residential Plot
717,0,0,New,1962,Gudavalli,40.33,East,Residential Plot
718,0,0,New,1503,Gudavalli,30.89,East,Residential Plot
719,0,0,New,293,Edupugallu,52.74,North,Residential Plot
720,0,0,New,1467,Edupugallu,29.34,None,Residential Plot
721,0,0,New,1458,Edupugallu,19.44,None,Residential Plot
722,0,0,New,1305,Gosala,17.4,East,Residential Plot
723,0,0,New,1440,Edupugallu,19.2,None,Residential Plot
724,0,0,New,1467,Edupugallu,29.34,West,Residential Plot
725,0,0,New,1350,Gosala,18.0,East,Residential Plot
726,0,0,New,1512,Edupugallu,30.24,West,Residential Plot
727,0,0,New,1278,Gosala,17.04,East,Residential Plot
728,0,0,New,1557,Edupugallu,31.14,West,Residential Plot
729,0,0,New,1602,Edupugallu,32.04,West,Residential Plot
730,0,0,New,1215,Gosala,15.52,West,Residential Plot
731,0,0,New,1647,Edupugallu,32.94,West,Residential Plot
732,0,0,New,4077,Edupugallu,83.8,East,Residential Plot
733,0,0,New,1413,Gosala,18.05,West,Residential Plot
734,0,0,New,1692,Edupugallu,33.84,None,Residential Plot
735,0,0,New,3996,Edupugallu,82.14,East,Residential Plot
736,0,0,New,2304,Edupugallu,51.2,NorthEast,Residential Plot
737,0,0,New,2529,Edupugallu,56.2,None,Residential Plot
738,0,0,New,1818,Edupugallu,36.36,West,Residential Plot
739,0,0,New,1818,Edupugallu,36.36,None,Residential Plot
740,0,0,New,1872,Edupugallu,37.44,None,Residential Plot
741,0,0,New,1872,Edupugallu,37.44,None,Residential Plot
742,0,0,New,2169,Edupugallu,44.58,None,Residential Plot
743,0,0,New,1890,Edupugallu,37.8,None,Residential Plot
744,0,0,New,1467,Edupugallu,29.16,West,Residential Plot
745,0,0,New,1458,Edupugallu,29.16,West,Residential Plot
746,0,0,New,1440,Edupugallu,28.8,West,Residential Plot
747,0,0,New,1944,Gudavalli,35.64,East,Residential Plot
748,0,0,New,1548,Gudavalli,28.38,East,Residential Plot
749,0,0,New,1944,Gudavalli,35.64,East,Residential Plot
750,0,0,New,1764,Gudavalli,32.34,East,Residential Plot
751,0,0,New,1557,Gudavalli,28.54,East,Residential Plot
752,0,0,New,1836,Gudavalli,32.43,West,Residential Plot
753,0,0,New,1647,Gudavalli,30.19,East,Residential Plot
754,0,0,New,1818,Gudavalli,33.33,East,Residential Plot
755,0,0,New,1917,Gudavalli,22.75,East,Residential Plot
756,0,0,New,1818,Gudavalli,33.33,East,Residential Plot
757,0,0,New,1557,Gudavalli,28.54,East,Residential Plot
758,0,0,New,1647,Gudavalli,20.09,West,Residential Plot
759,0,0,New,1818,Gudavalli,40.4,NorthEast,Residential Plot
760,0,0,New,1503,Gudavalli,27.55,East,Residential Plot
761,0,0,New,173,Edupugallu,31.14,West,Residential Plot
762,0,0,New,1674,Gudavalli,30.19,None,Residential Plot
763,0,0,New,1512,Edupugallu,30.96,West,Residential Plot
764,0,0,New,1512,Edupugallu,30.24,West,Residential Plot
765,0,0,New,1503,Edupugallu,30.06,West,Residential Plot
766,0,0,New,1953,Gudavalli,35.8,None,Residential Plot
767,0,0,New,1467,Edupugallu,29.34,West,Residential Plot
768,0,0,New,1458,Edupugallu,29.16,West,Residential Plot
769,0,0,New,1440,Edupugallu,28.8,West,Residential Plot
770,0,0,New,1395,Edupugallu,27.9,None,Residential Plot
771,0,0,New,2340,Edupugallu,48.1,East,Residential Plot
772,0,0,New,1908,Edupugallu,39.22,East,Residential Plot
773,0,0,New,3150,Edupugallu,63.0,West,Residential Plot
774,0,0,New,1395,Edupugallu,27.9,West,Residential Plot
775,0,0,New,1458,Edupugallu,29.16,West,Residential Plot
776,0,0,New,2088,Edupugallu,42.92,East,Residential Plot
777,0,0,New,1953,Edupugallu,40.14,East,Residential Plot
778,0,0,New,2142,Edupugallu,44.03,East,Residential Plot
779,0,0,New,1890,Edupugallu,37.8,West,Residential Plot
780,0,0,New,1278,Gosala,16.33,West,Residential Plot
781,0,0,New,1602,Gosala,21.36,East,Residential Plot
782,0,0,New,1278,Gosala,17.04,East,Residential Plot
783,0,0,New,1602,Gosala,21.36,None,Residential Plot
784,0,0,New,1458,Gosala,19.56,East,Residential Plot
785,0,0,New,1602,Gosala,21.36,None,Residential Plot
786,0,0,New,1251,Gosala,15.98,West,Residential Plot
787,0,0,New,1260,Gosala,16.1,West,Residential Plot
788,0,0,New,1278,Gosala,170.0,East,Residential Plot
789,0,0,New,1503,Gosala,20.04,None,Residential Plot
790,0,0,New,1458,Gosala,19.44,None,Residential Plot
791,0,0,New,1773,Edupugallu,23.64,East,Residential Plot
792,0,0,New,1674,Edupugallu,22.32,None,Residential Plot
793,0,0,New,2430,Edupugallu,32.4,East,Residential Plot
794,0,0,New,1278,Gosala,17.04,None,Residential Plot
795,0,0,New,1440,Edupugallu,19.2,West,Residential Plot
796,0,0,New,1647,Gudavalli,33.85,East,Residential Plot
797,0,0,New,8172,Edupugallu,108.0,East,Residential Plot
798,0,0,New,12240,Edupugallu,163.0,East,Residential Plot
799,0,0,New,1647,Gudavalli,32.94,West,Residential Plot
800,0,0,New,1278,Gosala,170.0,East,Residential Plot
801,0,0,New,1503,Gosala,20.04,None,Residential Plot
802,0,0,New,1458,Gosala,19.44,None,Residential Plot
803,0,0,New,1773,Edupugallu,23.64,East,Residential Plot
804,0,0,New,1674,Edupugallu,22.32,None,Residential Plot
805,0,0,New,2430,Edupugallu,32.4,East,Residential Plot
806,0,0,New,1278,Gosala,17.04,None,Residential Plot
807,0,0,New,1440,Edupugallu,19.2,West,Residential Plot
808,0,0,New,1647,Gudavalli,33.85,East,Residential Plot
809,0,0,New,8172,Edupugallu,108.0,East,Residential Plot
810,0,0,New,12240,Edupugallu,163.0,East,Residential Plot
811,0,0,New,1647,Gudavalli,32.94,West,Residential Plot
812,0,0,New,1962,Gudavalli,40.33,East,Residential Plot
813,0,0,New,1503,Gudavalli,30.89,East,Residential Plot
814,0,0,New,1746,Edupugallu,32.0,None,Residential Plot
815,0,0,New,1350,AGIRIPALLI,6.0,East,Residential Plot
816,0,0,New,1350,Kankipadu,5.99,East,Residential Plot
817,0,0,New,2700,Kankipadu,50.7,North,Residential Plot
818,0,0,New,1503,Kankipadu,26.38,West,Residential Plot
819,0,0,New,1566,Kankipadu,27.49,West,Residential Plot
820,0,0,New,2763,Edupugallu,56.79,East,Residential Plot
821,0,0,New,1548,Edupugallu,30.96,West,Residential Plot
822,0,0,New,2520,Edupugallu,51.8,East,Residential Plot
823,0,0,New,1467,Edupugallu,29.34,None,Residential Plot
824,0,0,New,1458,Edupugallu,19.44,None,Residential Plot
825,0,0,New,1305,Gosala,17.4,East,Residential Plot
826,0,0,New,1440,Edupugallu,19.2,None,Residential Plot
827,0,0,New,1467,Edupugallu,29.34,West,Residential Plot
828,0,0,New,1350,Gosala,18.0,East,Residential Plot
829,0,0,New,1512,Edupugallu,30.24,West,Residential Plot
830,0,0,New,1278,Gosala,17.04,East,Residential Plot
831,0,0,New,1557,Edupugallu,31.14,West,Residential Plot
832,0,0,New,1602,Edupugallu,32.04,West,Residential Plot
833,0,0,New,1215,Gosala,15.52,West,Residential Plot
834,0,0,New,1647,Edupugallu,32.94,West,Residential Plot
835,0,0,New,4077,Edupugallu,83.8,East,Residential Plot
836,0,0,New,1413,Gosala,18.05,West,Residential Plot
837,0,0,New,1692,Edupugallu,33.84,None,Residential Plot
838,0,0,New,3996,Edupugallu,82.14,East,Residential Plot
839,0,0,New,1647,Gudavalli,30.19,East,Residential Plot
840,0,0,New,1647,Gudavalli,32.02,East,Residential Plot
841,0,0,New,1647,Gudavalli,30.19,East,Residential Plot
842,0,0,New,1395,Edupugallu,27.9,None,Residential Plot
843,0,0,New,1350,Gollapudi1,16.29,East,Residential Plot
844,3,3,Ready to move,1500,Gollapudi1,60.0,None,Residential Plot
845,2,20222,Under Construction,1044,Kesarapalli,43.85,None,Residential Plot
846,2,2,Ready to move,1250,Gollapudi,50.0,None,Residential Plot
847,3,2,Ready to move,1530,Ayyappa Nagar,69.0,None,Residential Plot
848,2,2,Ready to move,1125,Gannavaram,28.0,None,Apartment
849,2,2,Ready to move,1030,Gannavaram,29.0,None,Apartment
850,2,2,Ready to move,820,Patamata,37.0,None,Apartment
851,4,3,Ready to move,2430,Gannavaram,100.0,None,Apartment
852,3,3,Ready to move,1719,Gannavaram,55.0,None,Apartment
853,2,2,Ready to move,1215,Gannavaram,40.0,None,Apartment
854,1,1,Ready to move,738,Gollapudi,45.0,None,Apartment
855,2,2,Ready to move,1534,Gollapudi,61.36,None,Apartment
856,0,0,New,2178,G Konduru,5.5,None,Apartment
857,0,0,New,1017,Kanchikacherla,5.0,None,Apartment
858,0,0,New,1332,Kanchikacherla,8.88,None,Apartment
859,0,0,New,1017,Kanchikacherla,4.0,East,Studio Apartment
860,0,0,New,1350,Gosala,18.75,None,Apartment
861,0,0,New,1017,Kanchikacherla,2.99,None,Residential Plot
862,0,0,New,1450,Gosala,19.98,None,Residential Plot
863,0,0,New,1017,Kanchikacherla,5.0,None,Residential Plot
864,0,0,New,1332,Kanchikacherla,8.88,None,Residential Plot
865,0,0,New,2178,G Konduru,5.5,None,Residential Plot
866,0,0,New,900,MylavaramKuntamukkalaVellaturuVijayawada Road,4.99,None,Residential Plot
867,0,0,New,1647,Edupugallu,32.94,North,Residential Plot
868,0,0,New,1620,Gudavalli,28.62,None,Residential Plot
869,0,0,New,2142,Edupugallu,44.03,East,Residential Plot
870,0,0,New,3942,Edupugallu,81.03,East,Residential Plot
871,0,0,New,3213,Edupugallu,66.04,None,Residential Plot
872,0,0,Resale,20000,Nuzvid Road,26.0,East,Residential Plot
873,0,0,New,1359,Penamaluru,17.5,None,Residential Plot
874,0,0,New,1989,Edupugallu,26.51,NorthWest,Residential Plot
875,0,0,New,8172,Edupugallu,108.0,North,Residential Plot
876,0,0,New,12240,Edupugallu,163.0,West,Residential Plot
877,0,0,New,4077,Edupugallu,54.36,East,Residential Plot
878,0,0,New,3996,Edupugallu,53.28,None,Residential Plot
879,0,0,New,3366,Edupugallu,44.88,NorthEast,Residential Plot
880,0,0,New,1350,Ramavarapadu Ring,20.25,North,Residential Plot
881,0,0,New,1503,Kankipadu,19.2,East,Residential Plot
882,0,0,New,1647,Edupugallu,32.94,North,Residential Plot
883,0,0,New,1620,Gudavalli,28.62,None,Residential Plot
884,0,0,New,1359,Penamaluru,17.5,None,Residential Plot
885,0,0,New,1989,Edupugallu,26.51,NorthWest,Residential Plot
