,Bedrooms,Bathrooms,Status,Size,Location,Price,Facing,Type
989,2,2,Ready to move,1200,Poranki,35.0,None,Apartment
990,2,2,Ready to move,1250,Ramavarapadu Ring,62.0,None,Apartment
991,3,3,Ready to move,1781,Gunadala,134.0,None,Apartment
992,3,3,Ready to move,1853,Mangalagiri,89.9,None,Independent Floor
993,3,3,Under Construction,2350,Kanuru,110.00000000000001,East,Apartment
994,0,0,New,900,G Konduru,4.5,East,Apartment
995,0,0,New,2394,Vijayawada Machilipatnam Road,19.95,East,Apartment
996,0,0,New,9504,MylavaramKuntamukkalaVellaturuVijayawada Road,10.0,East,Apartment
997,0,0,New,25,Benz Circle,8.0,None,Apartment
998,0,0,New,300,Kanchikacherla,24.0,None,Independent Floor
999,0,0,New,1350,Pedaogirala,15.0,East,Residential Plot
1000,0,0,New,300,Kanchikacherla,24.0,None,Residential Plot
1001,0,0,New,2394,Vijayawada Machilipatnam Road,19.95,East,Residential Plot
1002,0,0,Resale,1647,Edupugallu,35.0,East,Residential Plot
1003,0,0,Resale,1872,Vidhyadharpuram,120.0,NorthWest,Residential Plot
1004,0,0,Resale,2040,Auto Nagar,85.8,West,Residential Plot
1005,0,0,Resale,2040,Auto Nagar,85.8,West,Residential Plot
1006,0,0,Resale,2040,Auto Nagar,85.8,West,Residential Plot
1007,0,0,New,1350,Kankipadu,12.0,East,Residential Plot
1008,,,,,,,,Residential Plot
1009,,,,,,,,Residential Plot
1010,,,,,,,,Residential Plot
1011,,,,,,,,Residential Plot
1012,,,,,,,,Residential Plot
