,Property_type,Areas,Price in Lakhs,Bathrooms,Face,Square Feet,Status,Bedrooms
548,Residential Plot,Punadipadu,17.25,0,North,"1,277 / sq ft",New,0
549,Residential Plot,Punadipadu,11.5,0,North,"1,277 / sq ft",New,0
550,Residential Plot,Kankipadu,20.87,0,East,"1,388 / sq ft",New,0
551,Residential Plot,Punadipadu,23.0,0,North,"1,277 / sq ft",New,0
552,Residential Plot,Punadipadu,21.04,0,North,"1,277 / sq ft",New,0
553,Residential Plot,Punadipadu,17.25,0,West,"1,277 / sq ft",New,0
554,Residential Plot,Punadipadu,11.5,0,North,"1,277 / sq ft",New,0
555,Residential Plot,Punadipadu,11.5,0,West,"1,277 / sq ft",New,0
556,Apartment,Ajit Singh Nagar,36.0,20232,Unknown,"3,000 / sq ft",Under Construction,2
557,Apartment,Ajit Singh Nagar,38.0,2,Unknown,"3,454 / sq ft",Ready to move,2
558,Apartment,Ajit Singh Nagar,37.4,2,Unknown,"3,400 / sq ft",Ready to move,2
559,Apartment,Tadigadapa,64.0,3,Unknown,"3,657 / sq ft",Ready to move,3
560,Independent House,Gollapudi1,119.0,4,Unknown,"6,666 / sq ft",Ready to move,4
561,Independent House,Gudavalli,57.5,2,Unknown,"5,227 / sq ft",Ready to move,2
562,Villa,Poranki,105.0,20224,Unknown,"3,962 / sq ft",Under Construction,4
563,Apartment,Satyanarayanapuram Main Road,55.0,20212,Unknown,"5,907 / sq ft",Under Construction,2
564,Independent House,Penamaluru,36.0,20232,Unknown,"4,000 / sq ft",Under Construction,2
565,Independent House,Ramavarapadu,40.0,2,Unknown,"4,444 / sq ft",Ready to move,2
566,Independent House,Kankipadu,43.0,2,Unknown,"4,432 / sq ft",Ready to move,2
567,Independent House,Penamaluru,39.0,20232,Unknown,"3,209 / sq ft",Under Construction,2
568,Villa,Edupugallu,105.0,4,Unknown,"3,962 / sq ft",Ready to move,3
569,Independent House,Pedapulipaka Tadigadapa Road,32.0,20222,Unknown,"3,555 / sq ft",Under Construction,2
570,Independent House,Nunna,26.0,20222,Unknown,"2,888 / sq ft",Under Construction,2
571,Villa,Poranki,160.0,4,Unknown,"4,848 / sq ft",Ready to move,4
572,Apartment,Kanuru,62.0,3,Unknown,"4,249 / sq ft",Ready to move,3
573,Apartment,Gannavaram,31.34,2,Unknown,"2,900 / sq ft",Ready to move,2
574,Apartment,Gannavaram,34.91,3,Unknown,"2,900 / sq ft",Ready to move,3
575,Residential Plot,Milk Factory Road,2.1,0,East,155 / sq ft,New,0
576,Residential Plot,Telaprolu,8.87,0,West,465 / sq ft,Resale,0
577,Residential Plot,Vijayawada Airport Road,8.21,0,East,829 / sq ft,New,0
578,Residential Plot,Telaprolu,8.1,0,East,833 / sq ft,New,0
579,Residential Plot,Kankipadu,5.99,0,East,444 / sq ft,New,0
580,Residential Plot,Kankipadu,16.5,0,East,"1,104 / sq ft",New,0
581,Residential Plot,Srinivasa Nagar Bank Colony,459.0,0,Unknown,"11,722 / sq ft",Resale,0
582,Residential Plot,Edupugallu,49.02,0,East,"2,055 / sq ft",New,0
583,Residential Plot,Edupugallu,27.12,0,West,"1,333 / sq ft",New,0
584,Residential Plot,Edupugallu,28.8,0,West,"2,000 / sq ft",New,0
585,Residential Plot,Edupugallu,32.19,0,East,"18,500 / sq ft",New,0
586,Residential Plot,Edupugallu,44.58,0,West,"2,055 / sq ft",New,0
587,Residential Plot,Edupugallu,22.44,0,West,"1,333 / sq ft",New,0
588,Residential Plot,Edupugallu,47.7,0,West,"2,000 / sq ft",New,0
589,Residential Plot,Edupugallu,18.6,0,West,"1,333 / sq ft",New,0
590,Residential Plot,Edupugallu,44.03,0,East,"2,055 / sq ft",New,0
591,Residential Plot,Edupugallu,48.1,0,East,"2,055 / sq ft",New,0
592,Residential Plot,Edupugallu,34.56,0,West,"2,000 / sq ft",New,0
593,Residential Plot,Edupugallu,42.84,0,West,"2,000 / sq ft",New,0
594,Residential Plot,Edupugallu,34.92,0,West,"2,000 / sq ft",New,0
595,Residential Plot,Edupugallu,2.79,0,West,200 / sq ft,New,0
596,Residential Plot,Edupugallu,87.6,0,NorthEast,"2,222 / sq ft",New,0
597,Residential Plot,Edupugallu,58.86,0,West,"2,000 / sq ft",New,0
598,Residential Plot,Gudavalli,64.44,0,West,"2,000 / sq ft",New,0
599,Residential Plot,Edupugallu,33.85,0,East,"2,055 / sq ft",New,0
600,Residential Plot,Edupugallu,58.86,0,West,"2,000 / sq ft",New,0
601,Residential Plot,Gudavalli,64.44,0,West,"2,000 / sq ft",New,0
602,Residential Plot,Edupugallu,33.85,0,East,"2,055 / sq ft",New,0
603,Residential Plot,Edupugallu,20.76,0,Unknown,"1,333 / sq ft",New,0
604,Residential Plot,Edupugallu,41.07,0,Unknown,"2,055 / sq ft",New,0
605,Residential Plot,Edupugallu,27.84,0,Unknown,"1,333 / sq ft",New,0
606,Residential Plot,Edupugallu,26.04,0,Unknown,"1,333 / sq ft",New,0
607,Residential Plot,Edupugallu,24.12,0,Unknown,"1,333 / sq ft",New,0
608,Residential Plot,Edupugallu,23.64,0,Unknown,"1,333 / sq ft",New,0
609,Residential Plot,Edupugallu,17.82,0,West,"2,000 / sq ft",New,0
610,Residential Plot,Edupugallu,44.03,0,Unknown,"2,055 / sq ft",New,0
611,Residential Plot,Edupugallu,83.8,0,East,"2,055 / sq ft",New,0
612,Residential Plot,Edupugallu,40.14,0,East,"2,055 / sq ft",New,0
613,Residential Plot,Edupugallu,82.14,0,East,"2,055 / sq ft",New,0
614,Residential Plot,Edupugallu,42.92,0,East,"2,055 / sq ft",New,0
